RespID,task_fg,chosen,age_group,educ,ml,prog,soft,lead,ai_framing,job_role
7,33,0,31-40,Master's,ml_None,prog_Intermediate,soft_Medium,lead_High,low,analyst
7,34,1,41-50,Bachelor's,ml_Intermediate,prog_Advanced,soft_Low,lead_High,low,analyst
7,34,0,41-50,Master's,ml_None,prog_Basic,soft_Medium,lead_High,low,analyst
7,35,1,31-40,Bachelor's,ml_Basic,prog_Basic,soft_Low,lead_Medium,low,analyst
7,35,0,41-50,Master's,ml_None,prog_None,soft_Medium,lead_Medium,low,analyst
8,36,1,51-60,Master's,ml_Intermediate,prog_Advanced,soft_Medium,lead_Medium,low,analyst
8,36,0,51-60,PhD,ml_None,prog_Intermediate,soft_Low,lead_Low,low,analyst
8,37,0,41-50,Master's,ml_None,prog_Basic,soft_High,lead_High,low,analyst
8,37,1,41-50,Master's,ml_Basic,prog_Advanced,soft_High,lead_High,low,analyst
8,38,1,51-60,Master's,ml_Basic,prog_Intermediate,soft_High,lead_Medium,low,analyst
8,38,0,41-50,PhD,ml_None,prog_None,soft_Medium,lead_Medium,low,analyst
8,39,0,31-40,Bachelor's,ml_None,prog_Intermediate,soft_Medium,lead_High,low,analyst
8,39,1,21-30,Bachelor's,ml_Basic,prog_Basic,soft_High,lead_High,low,analyst
8,40,0,51-60,Master's,ml_None,prog_Intermediate,soft_Low,lead_Low,low,analyst
8,40,1,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Medium,lead_Medium,low,analyst
9,41,1,51-60,Master's,ml_Intermediate,prog_Intermediate,soft_Medium,lead_Medium,low,analyst
9,41,0,21-30,PhD,ml_None,prog_Basic,soft_Low,lead_High,low,analyst
9,42,1,41-50,Bachelor's,ml_Basic,prog_Basic,soft_Low,lead_Medium,low,analyst
9,42,0,31-40,Master's,ml_Intermediate,prog_Intermediate,soft_Medium,lead_Medium,low,analyst
9,43,0,31-40,PhD,ml_Intermediate,prog_Advanced,soft_Low,lead_Medium,low,analyst
9,43,1,41-50,Master's,ml_None,prog_Basic,soft_High,lead_Medium,low,analyst
9,44,0,31-40,Master's,ml_None,prog_Intermediate,soft_High,lead_Low,low,analyst
9,44,1,41-50,Master's,ml_None,prog_Intermediate,soft_Low,lead_Medium,low,analyst
9,45,1,31-40,Bachelor's,ml_None,prog_None,soft_High,lead_Low,low,analyst
9,45,0,31-40,Bachelor's,ml_None,prog_Advanced,soft_Medium,lead_High,low,analyst
10,46,0,41-50,Master's,ml_None,prog_Basic,soft_Low,lead_High,low,manager
10,46,1,21-30,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Medium,lead_High,low,manager
10,47,0,31-40,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_High,low,manager
10,47,1,41-50,PhD,ml_None,prog_Advanced,soft_High,lead_High,low,manager
10,48,1,31-40,Bachelor's,ml_None,prog_Intermediate,soft_Low,lead_Medium,low,manager
10,48,0,51-60,PhD,ml_Basic,prog_Basic,soft_Low,lead_Low,low,manager
10,49,0,41-50,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_Low,low,manager
10,49,1,21-30,Bachelor's,ml_Basic,prog_Basic,soft_Low,lead_Medium,low,manager
10,50,0,51-60,Bachelor's,ml_None,prog_Intermediate,soft_Low,lead_Medium,low,manager
10,50,1,31-40,Master's,ml_Basic,prog_Basic,soft_Low,lead_Medium,low,manager
11,51,0,51-60,Bachelor's,ml_Advanced,prog_Advanced,soft_Medium,lead_Low,high,analyst
11,51,1,21-30,Master's,ml_Intermediate,prog_Intermediate,soft_High,lead_Medium,high,analyst
11,52,1,41-50,PhD,ml_Intermediate,prog_Intermediate,soft_Low,lead_Low,high,analyst
11,52,0,31-40,Master's,ml_Basic,prog_Basic,soft_High,lead_High,high,analyst
11,53,1,41-50,PhD,ml_Basic,prog_Basic,soft_High,lead_Low,high,analyst
11,53,0,41-50,Master's,ml_None,prog_Advanced,soft_High,lead_Low,high,analyst
11,54,1,51-60,PhD,ml_Basic,prog_Basic,soft_Low,lead_High,high,analyst
11,54,0,31-40,Bachelor's,ml_None,prog_Basic,soft_High,lead_High,high,analyst
11,55,0,51-60,Master's,ml_Basic,prog_Basic,soft_Low,lead_High,high,analyst
11,55,1,21-30,PhD,ml_Advanced,prog_Advanced,soft_Low,lead_Low,high,analyst
12,56,0,51-60,Master's,ml_None,prog_Basic,soft_Medium,lead_Medium,low,manager
12,56,1,41-50,PhD,ml_None,prog_Advanced,soft_Low,lead_High,low,manager
12,57,0,41-50,Bachelor's,ml_Basic,prog_Basic,soft_High,lead_Medium,low,manager
12,57,1,31-40,PhD,ml_Intermediate,prog_Advanced,soft_High,lead_High,low,manager
12,58,1,41-50,Master's,ml_Intermediate,prog_Advanced,soft_High,lead_High,low,manager
12,58,0,41-50,Bachelor's,ml_Basic,prog_Basic,soft_High,lead_High,low,manager
12,59,0,31-40,PhD,ml_None,prog_Advanced,soft_Low,lead_Medium,low,manager
12,59,1,21-30,PhD,ml_Advanced,prog_Advanced,soft_Medium,lead_Low,low,manager
12,60,1,41-50,Master's,ml_None,prog_None,soft_High,lead_High,low,manager
12,60,0,31-40,Bachelor's,ml_Basic,prog_Basic,soft_Low,lead_Medium,low,manager
13,61,1,51-60,PhD,ml_Intermediate,prog_Advanced,soft_Low,lead_High,low,manager
13,61,0,41-50,PhD,ml_None,prog_Advanced,soft_High,lead_Low,low,manager
13,62,1,41-50,Master's,ml_Intermediate,prog_Advanced,soft_Low,lead_Medium,low,manager
13,62,0,51-60,Bachelor's,ml_Basic,prog_Advanced,soft_Low,lead_Low,low,manager
13,63,0,51-60,Master's,ml_Basic,prog_Basic,soft_High,lead_High,low,manager
13,63,1,31-40,PhD,ml_None,prog_Intermediate,soft_High,lead_Low,low,manager
13,64,0,51-60,Master's,ml_Basic,prog_Intermediate,soft_Low,lead_High,low,manager
13,64,1,41-50,PhD,ml_Basic,prog_Intermediate,soft_High,lead_Medium,low,manager
13,65,1,41-50,PhD,ml_Intermediate,prog_Intermediate,soft_Low,lead_High,low,manager
13,65,0,21-30,Bachelor's,ml_Intermediate,prog_Advanced,soft_Low,lead_Low,low,manager
14,66,1,31-40,PhD,ml_Intermediate,prog_Intermediate,soft_Medium,lead_High,high,analyst
14,66,0,41-50,Bachelor's,ml_Basic,prog_Intermediate,soft_High,lead_Medium,high,analyst
14,67,1,41-50,PhD,ml_None,prog_Advanced,soft_Low,lead_Medium,high,analyst
14,67,0,41-50,PhD,ml_None,prog_Intermediate,soft_High,lead_Low,high,analyst
14,68,1,21-30,Master's,ml_Advanced,prog_Advanced,soft_Low,lead_Medium,high,analyst
14,68,0,51-60,Master's,ml_None,prog_Advanced,soft_Low,lead_Low,high,analyst
14,69,1,21-30,PhD,ml_Intermediate,prog_Advanced,soft_Medium,lead_Medium,high,analyst
14,69,0,41-50,Bachelor's,ml_Basic,prog_Basic,soft_Low,lead_Low,high,analyst
14,70,0,31-40,Master's,ml_None,prog_Basic,soft_High,lead_Medium,high,analyst
14,70,1,21-30,Master's,ml_None,prog_Advanced,soft_High,lead_High,high,analyst
15,71,1,21-30,Master's,ml_Intermediate,prog_Intermediate,soft_High,lead_Low,high,analyst
15,71,0,41-50,Bachelor's,ml_Basic,prog_Advanced,soft_High,lead_High,high,analyst
15,72,0,21-30,PhD,ml_None,prog_None,soft_High,lead_Low,high,analyst
15,72,1,31-40,Bachelor's,ml_Intermediate,prog_Advanced,soft_Medium,lead_High,high,analyst
15,73,1,51-60,Bachelor's,ml_Intermediate,prog_Advanced,soft_Low,lead_Medium,high,analyst
15,73,0,21-30,Bachelor's,ml_None,prog_Basic,soft_Low,lead_Medium,high,analyst
15,74,1,41-50,Master's,ml_Intermediate,prog_Intermediate,soft_High,lead_High,high,analyst
15,74,0,31-40,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_Low,high,analyst
15,75,1,31-40,PhD,ml_Basic,prog_Advanced,soft_High,lead_Low,high,analyst
15,75,0,21-30,Bachelor's,ml_None,prog_Advanced,soft_Medium,lead_Low,high,analyst
16,76,0,31-40,PhD,ml_Intermediate,prog_Advanced,soft_Low,lead_Low,low,analyst
16,76,1,41-50,Bachelor's,ml_Basic,prog_Intermediate,soft_Low,lead_High,low,analyst
16,77,1,41-50,Master's,ml_None,prog_Basic,soft_Medium,lead_High,low,analyst
16,77,0,31-40,Bachelor's,ml_None,prog_Advanced,soft_High,lead_Medium,low,analyst
16,78,1,31-40,Bachelor's,ml_Basic,prog_Intermediate,soft_Low,lead_High,low,analyst
16,78,0,31-40,Bachelor's,ml_None,prog_None,soft_High,lead_High,low,analyst
16,79,1,31-40,Bachelor's,ml_None,prog_Advanced,soft_Medium,lead_Medium,low,analyst
16,79,0,41-50,PhD,ml_Basic,prog_Advanced,soft_Low,lead_Low,low,analyst
16,80,0,31-40,Bachelor's,ml_Basic,prog_Intermediate,soft_Medium,lead_Medium,low,analyst
16,80,1,21-30,PhD,ml_Advanced,prog_Advanced,soft_High,lead_Medium,low,analyst
17,81,1,51-60,PhD,ml_Intermediate,prog_Intermediate,soft_High,lead_High,high,analyst
17,81,0,51-60,Master's,ml_Basic,prog_Intermediate,soft_Medium,lead_Medium,high,analyst
17,82,1,31-40,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,high,analyst
17,82,0,21-30,PhD,ml_None,prog_Basic,soft_Medium,lead_High,high,analyst
17,83,1,21-30,Master's,ml_Advanced,prog_Advanced,soft_High,lead_Medium,high,analyst
17,83,0,21-30,Master's,ml_Basic,prog_Basic,soft_High,lead_High,high,analyst
17,84,1,51-60,PhD,ml_None,prog_Intermediate,soft_Low,lead_Low,high,analyst
17,84,0,41-50,Master's,ml_None,prog_Basic,soft_Low,lead_Medium,high,analyst
17,85,1,31-40,PhD,ml_Intermediate,prog_Intermediate,soft_High,lead_Medium,high,analyst
17,85,0,21-30,Master's,ml_None,prog_None,soft_Medium,lead_Low,high,analyst
18,86,1,21-30,Bachelor's,ml_Basic,prog_Basic,soft_Medium,lead_Medium,high,manager
18,86,0,31-40,Bachelor's,ml_Basic,prog_Basic,soft_Low,lead_Low,high,manager
18,87,1,51-60,PhD,ml_Advanced,prog_Advanced,soft_Low,lead_High,high,manager
18,87,0,31-40,Master's,ml_None,prog_Advanced,soft_Medium,lead_Medium,high,manager
18,88,1,41-50,PhD,ml_Intermediate,prog_Intermediate,soft_Medium,lead_Low,high,manager
18,88,0,31-40,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_Low,high,manager
18,89,1,31-40,PhD,ml_Basic,prog_Advanced,soft_Medium,lead_High,high,manager
18,89,0,51-60,Master's,ml_None,prog_None,soft_Medium,lead_High,high,manager
18,90,0,31-40,PhD,ml_None,prog_None,soft_Low,lead_Medium,high,manager
18,90,1,41-50,Master's,ml_None,prog_Intermediate,soft_Medium,lead_Low,high,manager
19,91,1,51-60,PhD,ml_Intermediate,prog_Advanced,soft_Low,lead_Low,low,analyst
19,91,0,51-60,Master's,ml_None,prog_Advanced,soft_Medium,lead_Medium,low,analyst
19,92,1,41-50,Bachelor's,ml_Basic,prog_Advanced,soft_Low,lead_High,low,analyst
19,92,0,51-60,Bachelor's,ml_None,prog_Basic,soft_Low,lead_High,low,analyst
19,93,0,31-40,Bachelor's,ml_Advanced,prog_Advanced,soft_Low,lead_Low,low,analyst
19,93,1,31-40,Master's,ml_Basic,prog_Intermediate,soft_Low,lead_High,low,analyst
19,94,0,21-30,Master's,ml_None,prog_None,soft_High,lead_Low,low,analyst
19,94,1,51-60,PhD,ml_Intermediate,prog_Advanced,soft_Medium,lead_High,low,analyst
19,95,1,41-50,Bachelor's,ml_Basic,prog_Intermediate,soft_Low,lead_High,low,analyst
19,95,0,31-40,PhD,ml_None,prog_Basic,soft_Low,lead_Low,low,analyst
20,96,1,41-50,Master's,ml_None,prog_None,soft_Low,lead_Low,low,manager
20,96,0,31-40,PhD,ml_Intermediate,prog_Advanced,soft_High,lead_High,low,manager
20,97,1,41-50,Master's,ml_Basic,prog_Advanced,soft_Medium,lead_Low,low,manager
20,97,0,41-50,Bachelor's,ml_Advanced,prog_Advanced,soft_High,lead_Medium,low,manager
20,98,0,41-50,PhD,ml_Basic,prog_Basic,soft_Low,lead_Low,low,manager
20,98,1,51-60,Master's,ml_Basic,prog_Basic,soft_High,lead_Medium,low,manager
20,99,0,31-40,PhD,ml_Intermediate,prog_Advanced,soft_High,lead_Medium,low,manager
20,99,1,31-40,Bachelor's,ml_Intermediate,prog_Intermediate,soft_High,lead_Medium,low,manager
20,100,0,31-40,PhD,ml_None,prog_None,soft_High,lead_Medium,low,manager
20,100,1,41-50,Master's,ml_Basic,prog_Intermediate,soft_Medium,lead_Medium,low,manager
21,101,1,21-30,Bachelor's,ml_Intermediate,prog_Advanced,soft_Medium,lead_Low,low,analyst
21,101,0,51-60,Bachelor's,ml_Basic,prog_Basic,soft_Medium,lead_Medium,low,analyst
21,102,1,31-40,PhD,ml_Advanced,prog_Advanced,soft_Low,lead_Low,low,analyst
21,102,0,31-40,PhD,ml_Basic,prog_Advanced,soft_High,lead_Low,low,analyst
21,103,1,51-60,Bachelor's,ml_Basic,prog_Intermediate,soft_Medium,lead_High,low,analyst
21,103,0,41-50,Master's,ml_None,prog_Intermediate,soft_High,lead_High,low,analyst
21,104,0,41-50,PhD,ml_None,prog_None,soft_Medium,lead_High,low,analyst
21,104,1,21-30,PhD,ml_None,prog_Basic,soft_Medium,lead_Medium,low,analyst
21,105,1,31-40,Bachelor's,ml_Basic,prog_Intermediate,soft_Low,lead_Medium,low,analyst
21,105,0,41-50,PhD,ml_None,prog_None,soft_High,lead_Low,low,analyst
22,106,0,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,high,manager
22,106,1,21-30,Bachelor's,ml_Intermediate,prog_Advanced,soft_Medium,lead_Medium,high,manager
22,107,0,41-50,Bachelor's,ml_Basic,prog_Intermediate,soft_High,lead_High,high,manager
22,107,1,41-50,Master's,ml_Advanced,prog_Advanced,soft_Medium,lead_High,high,manager
22,108,1,41-50,PhD,ml_Basic,prog_Intermediate,soft_Medium,lead_High,high,manager
22,108,0,31-40,PhD,ml_Intermediate,prog_Intermediate,soft_Medium,lead_Low,high,manager
22,109,1,31-40,PhD,ml_None,prog_None,soft_Low,lead_High,high,manager
22,109,0,41-50,PhD,ml_Basic,prog_Basic,soft_Low,lead_Low,high,manager
22,110,1,21-30,Master's,ml_None,prog_Advanced,soft_Medium,lead_High,high,manager
22,110,0,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Medium,lead_High,high,manager
23,111,1,41-50,PhD,ml_Advanced,prog_Advanced,soft_Medium,lead_Medium,high,analyst
23,111,0,51-60,Master's,ml_Advanced,prog_Advanced,soft_High,lead_Medium,high,analyst
23,112,1,31-40,PhD,ml_None,prog_Advanced,soft_Medium,lead_High,high,analyst
23,112,0,21-30,Bachelor's,ml_None,prog_Intermediate,soft_Low,lead_Low,high,analyst
23,113,1,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_High,lead_Low,high,analyst
23,113,0,41-50,Master's,ml_None,prog_Intermediate,soft_Low,lead_Low,high,analyst
23,114,1,51-60,Master's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,high,analyst
23,114,0,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_High,lead_Low,high,analyst
23,115,0,21-30,Master's,ml_None,prog_None,soft_High,lead_High,high,analyst
23,115,1,31-40,Bachelor's,ml_Advanced,prog_Advanced,soft_Medium,lead_Low,high,analyst
24,116,1,41-50,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,high,manager
24,116,0,41-50,Master's,ml_Basic,prog_Basic,soft_Medium,lead_High,high,manager
24,117,1,41-50,Bachelor's,ml_Intermediate,prog_Advanced,soft_Medium,lead_Low,high,manager
24,117,0,21-30,Bachelor's,ml_None,prog_None,soft_High,lead_High,high,manager
24,118,0,21-30,Bachelor's,ml_Basic,prog_Intermediate,soft_High,lead_Medium,high,manager
24,118,1,41-50,PhD,ml_None,prog_Advanced,soft_High,lead_Medium,high,manager
24,119,1,41-50,Bachelor's,ml_Intermediate,prog_Advanced,soft_High,lead_High,high,manager
24,119,0,21-30,Bachelor's,ml_Intermediate,prog_Advanced,soft_High,lead_Low,high,manager
24,120,0,51-60,Bachelor's,ml_None,prog_Advanced,soft_Low,lead_Medium,high,manager
24,120,1,51-60,Master's,ml_Advanced,prog_Advanced,soft_Medium,lead_Low,high,manager
25,121,0,51-60,Master's,ml_None,prog_Advanced,soft_Low,lead_Low,high,analyst
25,121,1,51-60,Master's,ml_Intermediate,prog_Advanced,soft_High,lead_Medium,high,analyst
25,122,1,21-30,Bachelor's,ml_None,prog_None,soft_High,lead_Medium,high,analyst
25,122,0,51-60,PhD,ml_None,prog_None,soft_High,lead_High,high,analyst
25,123,1,31-40,Master's,ml_None,prog_Advanced,soft_High,lead_Low,high,analyst
25,123,0,51-60,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_Low,high,analyst
25,124,0,31-40,PhD,ml_Basic,prog_Advanced,soft_Low,lead_Low,high,analyst
25,124,1,31-40,PhD,ml_None,prog_Advanced,soft_High,lead_High,high,analyst
25,125,0,51-60,Master's,ml_None,prog_Advanced,soft_Low,lead_Medium,high,analyst
25,125,1,31-40,Bachelor's,ml_Advanced,prog_Advanced,soft_Low,lead_Medium,high,analyst
26,126,1,31-40,Bachelor's,ml_None,prog_Advanced,soft_Low,lead_Low,high,analyst
26,126,0,21-30,Bachelor's,ml_None,prog_Basic,soft_High,lead_Low,high,analyst
26,127,0,51-60,Master's,ml_None,prog_Basic,soft_Low,lead_Low,high,analyst
26,127,1,41-50,Master's,ml_None,prog_None,soft_Medium,lead_Medium,high,analyst
26,128,0,21-30,Master's,ml_None,prog_Advanced,soft_Low,lead_Low,high,analyst
26,128,1,31-40,Master's,ml_Advanced,prog_Advanced,soft_Low,lead_Medium,high,analyst
26,129,1,31-40,Bachelor's,ml_Intermediate,prog_Advanced,soft_High,lead_High,high,analyst
26,129,0,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_High,lead_Low,high,analyst
26,130,1,41-50,PhD,ml_Advanced,prog_Advanced,soft_Medium,lead_Low,high,analyst
26,130,0,51-60,PhD,ml_Intermediate,prog_Advanced,soft_High,lead_Low,high,analyst
27,131,0,41-50,Bachelor's,ml_Intermediate,prog_Advanced,soft_Low,lead_Low,low,manager
27,131,1,31-40,PhD,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,low,manager
27,132,0,21-30,Master's,ml_Basic,prog_Basic,soft_Medium,lead_Low,low,manager
27,132,1,31-40,Bachelor's,ml_None,prog_Basic,soft_Low,lead_Medium,low,manager
27,133,1,21-30,Master's,ml_Basic,prog_Intermediate,soft_Low,lead_Low,low,manager
27,133,0,31-40,Master's,ml_None,prog_Advanced,soft_High,lead_High,low,manager
27,134,0,51-60,Master's,ml_None,prog_Advanced,soft_High,lead_Low,low,manager
27,134,1,41-50,Master's,ml_Intermediate,prog_Advanced,soft_Low,lead_High,low,manager
27,135,1,41-50,Master's,ml_None,prog_Advanced,soft_High,lead_Medium,low,manager
27,135,0,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_High,low,manager
28,136,1,41-50,Master's,ml_None,prog_Advanced,soft_High,lead_High,high,analyst
28,136,0,51-60,PhD,ml_None,prog_Advanced,soft_Low,lead_Low,high,analyst
28,137,0,41-50,Bachelor's,ml_None,prog_Basic,soft_Low,lead_High,high,analyst
28,137,1,21-30,Bachelor's,ml_Advanced,prog_Advanced,soft_High,lead_High,high,analyst
28,138,1,41-50,Master's,ml_Advanced,prog_Advanced,soft_Medium,lead_Low,high,analyst
28,138,0,31-40,Master's,ml_Basic,prog_Basic,soft_Medium,lead_High,high,analyst
28,139,0,51-60,Bachelor's,ml_None,prog_None,soft_Low,lead_Low,high,analyst
28,139,1,51-60,Master's,ml_Basic,prog_Basic,soft_Low,lead_Medium,high,analyst
28,140,1,31-40,Master's,ml_None,prog_Intermediate,soft_High,lead_High,high,analyst
28,140,0,41-50,Bachelor's,ml_Basic,prog_Advanced,soft_Low,lead_High,high,analyst
29,141,1,31-40,PhD,ml_Basic,prog_Advanced,soft_Medium,lead_Medium,low,analyst
29,141,0,21-30,Master's,ml_Intermediate,prog_Intermediate,soft_High,lead_High,low,analyst
29,142,0,21-30,Bachelor's,ml_Advanced,prog_Advanced,soft_Low,lead_High,low,analyst
29,142,1,41-50,PhD,ml_Intermediate,prog_Advanced,soft_High,lead_High,low,analyst
29,143,1,41-50,PhD,ml_Intermediate,prog_Advanced,soft_Low,lead_High,low,analyst
29,143,0,31-40,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,low,analyst
29,144,1,31-40,PhD,ml_None,prog_Advanced,soft_High,lead_High,low,analyst
29,144,0,31-40,PhD,ml_None,prog_Advanced,soft_Medium,lead_Low,low,analyst
29,145,0,21-30,Master's,ml_None,prog_None,soft_High,lead_Low,low,analyst
29,145,1,51-60,Master's,ml_Intermediate,prog_Intermediate,soft_High,lead_Low,low,analyst
30,146,0,31-40,Bachelor's,ml_None,prog_Intermediate,soft_Low,lead_High,low,analyst
30,146,1,41-50,Master's,ml_Basic,prog_Basic,soft_Low,lead_Low,low,analyst
30,147,0,31-40,Bachelor's,ml_None,prog_None,soft_Low,lead_Low,low,analyst
30,147,1,21-30,PhD,ml_None,prog_None,soft_Medium,lead_Low,low,analyst
30,148,0,31-40,Master's,ml_None,prog_None,soft_High,lead_Low,low,analyst
