"","PROLIFIC_PID","task_number","profile","chosen","age","educ","ml","prog","soft","lead","task_id","Progress","Finished","RecordedDate","LocationLatitude","LocationLongitude","consent","resp_age","resp_sex","resp_hiring","resp_role","resp_edu","industry_type","dig_literacy","dig_use","dig_skills","gov_reg","gov_reskill","personal_data_safety_cause_for_concern","ai_increases_prod_without_unemp","labour_welfare_policies_over_econ_growth","ai_driven_high_job_disp_in_the_future","more_ai_research_and_development","check_1","check_2","ai_framing","job_role","Duration_mins","m_check","Status","Decision.making.responsibilities","Age","Sex","Ethnicity.simplified","Country.of.residence","Nationality","Language","Time.taken_mins","Region","resp_age_num","condition"
"11","60367f78082e3dedb8238ea3",1,"A",0,55,"PhD","None","Intermediate","Low","High","60367f78082e3dedb8238ea3_1","100","True","45796.7522808449","41.1695","-75.8774","Yes","65 or older","Female","Yes, regularly","Administrative Assistant","High School or lower","mental health non profit","Somewhat uncomfortable","I have heard of AI tools, but do not use them","Beginner","Agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Neutral","Agree","The company has limited or no use of AI.","Moderately","low","manager",5.4,"pass","APPROVED","Hiring, People management, Other","78","Female","White","United States","United States","English",5.71666666666667,"US","78","Low AI + Manager"
"12","606f9bca353fc36aba9ccb8b",1,"A",0,56,"Master's","None","Basic","Low","Medium","606f9bca353fc36aba9ccb8b_1","100","True","45796.7559899537","38.8868","-94.8223","Yes","25-34","Male","Yes, regularly","PARTS SALESMAN","High School or lower","Logistics/Transportation","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Neutral","Neutral","The company relies heavily on AI.","Moderately","low","manager",12.7166666666667,"pass","APPROVED","Hiring, Customer/client, People management","32","Male","White","United States","United States","English",12.8166666666667,"US","32","Low AI + Manager"
"13","60c6cd8bacdf5d1f27924048",1,"A",0,49,"PhD","Intermediate","Intermediate","Low","High","60c6cd8bacdf5d1f27924048_1","100","True","45796.7637751157","42.4986","-83.4792","Yes","25-34","Male","Occasionally","talent Specialist","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Intermediate","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","The company has limited or no use of AI.","Slightly","low","manager",8,"pass","APPROVED","Research/development, Business strategy, Customer/client, Hiring","33","Male","White","United States","United States","English",8.11666666666667,"US","33","Low AI + Manager"
"14","60fd6618f9a377f54dcdf318",1,"A",1,35,"PhD","Basic","Basic","Low","High","60fd6618f9a377f54dcdf318_1","100","True","45796.7479986921","39.018","-77.539","Yes","35-44","Male","Occasionally","psychologist","Master's Degree","education","Somewhat comfortable","I use AI tools occasionally","Beginner","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","The company relies heavily on AI.","Moderately","low","manager",3.78333333333333,"pass","APPROVED","People management, Hiring","39","Male","Mixed","United States","United States","English",3.91666666666667,"US","39","Low AI + Manager"
"15","61075021ca38bded76b45055",1,"A",0,27,"Bachelor's","Advanced","Advanced","Low","Low","61075021ca38bded76b45055_1","100","True","45796.7494143287","42.5403","-83.379","Yes","45-54","Female","Occasionally","Talent acquisition","Master's Degree","Education","Somewhat uncomfortable","I use AI tools occasionally","Intermediate","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","The company has limited or no use of AI.","Slightly","low","manager",4.75,"pass","APPROVED","Customer/client, Hiring, Operations/production, People management, Research/development","53","Female","White","United States","United States","English",4.91666666666667,"US","53","Low AI + Manager"
"16","614662c1c31697525616534f",1,"A",0,54,"Bachelor's","Basic","Basic","Medium","Medium","614662c1c31697525616534f_1","100","True","45796.7568134722","33.0225","-96.729","Yes","54-65","Male","Yes, regularly","Vice President of HR","Bachelor's Degree","Hospitality","Very comfortable","I use AI tools frequently","Intermediate","Disagree","Agree","Agree","Disagree","Neutral","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","manager",3.41666666666667,"pass","APPROVED","Operations/production, Marketing/sales/advertising, Business strategy, Accounts/finance, Hiring, Customer/client, People management, Research/development, Supply chain/logistics","63","Male","White","United States","United States","English",3.55,"US","63","Low AI + Manager"
"17","614f39b82ccdbdd51c76cc50",1,"A",1,41,"Master's","Basic","Intermediate","High","Low","614f39b82ccdbdd51c76cc50_1","100","True","45796.7491496528","44.9427","-93.2871","Yes","45-54","Male","Yes, regularly","President","High School or lower","Logistics/Transportation,Marketing","Somewhat comfortable","I use AI tools occasionally","Beginner","Agree","Agree","Strongly agree","Disagree","Neutral","Agree","Strongly agree","The company has limited or no use of AI.","Not at all","low","manager",3.45,"pass","APPROVED","Supply chain/logistics, Research/development, People management, Operations/production, Marketing/sales/advertising, Hiring, Customer/client, Business strategy, Accounts/finance","53","Male","White","United States","United States","English",3.58333333333333,"US","53","Low AI + Manager"
"18","61bb370140db417c1a138984",1,"A",1,41,"Master's","Basic","Intermediate","High","Low","61bb370140db417c1a138984_1","100","True","45796.7713027199","29.7133","-95.4804","Yes","35-44","Female","Occasionally","Training manager","Master's Degree","Education","Very comfortable","I use AI tools frequently","Intermediate","Disagree","Neutral","Disagree","Agree","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Not at all","low","manager",24.8833333333333,"pass","APPROVED","Hiring, Customer/client, Accounts/finance, People management, Research/development","36","Female","White","United States","United Kingdom","English",26.6,"US","36","Low AI + Manager"
"19","62b0d928b1eb191d733f9ebd",1,"A",1,48,"PhD","None","Intermediate","Low","High","62b0d928b1eb191d733f9ebd_1","100","True","45796.7571898495","29.6963","-95.1319","Yes","35-44","Male","Yes, regularly","Head of Operations","Bachelor's Degree","Computer and Technology,Other (Please specify)","Very comfortable","I use AI tools frequently","Advanced","Agree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","manager",4.76666666666667,"pass","APPROVED","Business strategy, Customer/client, Marketing/sales/advertising, Hiring, Operations/production","38","Male","White","United States","United States","English",4.9,"US","38","Low AI + Manager"
"20","62f48ec3d148eaece3a0c3c7",1,"A",1,43,"Bachelor's","None","None","High","Medium","62f48ec3d148eaece3a0c3c7_1","100","True","45796.7576145602","47.6657","-117.2251","Yes","45-54","Male","Yes, regularly","Senior Assistant Manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","The company has limited or no use of AI.","Slightly","low","manager",4.95,"pass","APPROVED","Customer/client, Hiring, People management, Other","45","Male","Asian","United States","Japan","English",5.08333333333333,"US","45","Low AI + Manager"
"21","6334b0fc574064de4e68f578",1,"A",1,36,"Master's","Basic","Intermediate","Low","Medium","6334b0fc574064de4e68f578_1","100","True","45796.750727581","43.0006","-88.22","Yes","54-65","Female","Yes, regularly","I am the owner of the company.  My duties include hiring employees, overseeing day to day operations, purchasing, finance, and inventory management","High School or lower","Hospitality","Somewhat comfortable","I use AI tools occasionally","Beginner","Neutral","Disagree","Agree","Agree","Disagree","Agree","Neutral","The company has limited or no use of AI.","Slightly","low","manager",4.58333333333333,"pass","APPROVED","Operations/production, Business strategy, Marketing/sales/advertising, People management, Hiring, Research/development, Accounts/finance, Supply chain/logistics, Customer/client","64","Female","White","United States","United States","English",4.71666666666667,"US","64","Low AI + Manager"
"22","637e1da154dddf50b9d82c82",1,"A",1,28,"Bachelor's","Basic","Advanced","Low","High","637e1da154dddf50b9d82c82_1","100","True","45796.813763206","50.9033","6.9647","Yes","25-34","Male","Yes, regularly","Head of PMO","Master's Degree","Banking, Finance and Insurance","Very comfortable","I use AI tools occasionally","Intermediate","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","The company has limited or no use of AI.","Slightly","low","manager",2.53333333333333,"pass","APPROVED","Business strategy, Hiring, People management, Research/development, Other","34","Male","White","Germany","Germany","German",2.6,"EU","34","Low AI + Manager"
"23","63c3164c08ff110d63b44dc6",1,"A",1,31,"Master's","Basic","Basic","Low","Medium","63c3164c08ff110d63b44dc6_1","100","True","45796.7569084028","40.7126","-74.0066","Yes","35-44","Male","Yes, regularly","Senior manager","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Neutral","Agree","Neutral","Disagree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","manager",14.3,"pass","APPROVED","Hiring","35","Male","White","United States","United States","English",14.6666666666667,"US","35","Low AI + Manager"
"24","63cff262503b56190be3eb18",1,"A",1,50,"PhD","Basic","Basic","Low","High","63cff262503b56190be3eb18_1","100","True","45796.7534835301","33.635","-112.3321","Yes","25-34","Female","Yes, regularly","Manager","Bachelor's Degree","Hospitality","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Strongly agree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Not at all","low","manager",7.66666666666667,"pass","APPROVED","People management, Operations/production, Hiring","33","Female","White","United States","United States","English",7.8,"US","33","Low AI + Manager"
"25","64fee13e6324ea4884bcc9db",1,"A",0,43,"Master's","Basic","Advanced","Low","Low","64fee13e6324ea4884bcc9db_1","100","True","45796.9021639699","52.4992","13.3142","Yes","25-34","Male","Occasionally","Senior Consultant","Master's Degree","Consulting","Very comfortable","I use AI tools frequently","Intermediate","Disagree","Agree","Agree","Neutral","Disagree","Agree","Strongly agree","The company has limited or no use of AI.","Slightly","low","manager",4.78333333333333,"pass","APPROVED","Customer/client, Business strategy, Hiring, People management, Other","34","Male","White","Germany","Germany","German",5.01666666666667,"EU","34","Low AI + Manager"
"26","6526f601bedbae17738408b1",1,"A",0,58,"PhD","None","Intermediate","Low","High","6526f601bedbae17738408b1_1","100","True","45796.7498463079","40.7157","-74","Yes","54-65","Male","Yes, regularly","Sales manager","High School or lower","Hospitality,Other (Please specify)","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company relies heavily on AI.","Moderately","low","manager",5.31666666666667,"pass","APPROVED","Business strategy, Customer/client, Hiring, Marketing/sales/advertising","65","Male","White","United States","United States","English",5.46666666666667,"US","65","Low AI + Manager"
"27","653fb0e1be70b76473be7116",1,"A",1,51,"Bachelor's","None","Intermediate","High","Medium","653fb0e1be70b76473be7116_1","100","True","45796.7494823611","38.8055","-9.1325","Yes","45-54","Male","Occasionally","Specialist","High School or lower","Entertainment and Media","Somewhat comfortable","I have heard of AI tools, but do not use them","Intermediate","Neutral","Strongly agree","Agree","Disagree","Agree","Strongly agree","Neutral","The company has limited or no use of AI.","Moderately","low","manager",4.06666666666667,"pass","APPROVED","Business strategy, Customer/client, Hiring, Operations/production, People management, Research/development","52","Male","White","Portugal","Portugal","Portuguese",4.16666666666667,"EU","52","Low AI + Manager"
"28","6599b15ac5bd63ec64f8b1f5",1,"A",0,45,"Bachelor's","Advanced","Advanced","High","High","6599b15ac5bd63ec64f8b1f5_1","100","True","45796.7485229514","41.9905","-87.6679","Yes","54-65","Male","Yes, regularly","HR Manager","Bachelor's Degree","Nonprofit","Very comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Neutral","The company relies heavily on AI.","Not at all","low","manager",4.33333333333333,"pass","APPROVED","Hiring, People management, Other","56","Male","White","United States","United States","English",4.46666666666667,"US","56","Low AI + Manager"
"29","65a2cd1b1d1724a7eba41cd3",1,"A",0,42,"Master's","Basic","Advanced","High","Medium","65a2cd1b1d1724a7eba41cd3_1","100","True","45796.7662803588","41.7958","-72.5241","Yes","65 or older","Male","Yes, regularly","Senior manager IT","Bachelor's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Disagree","Agree","Neutral","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","manager",5.1,"pass","APPROVED","Research/development, Operations/production, Hiring","66","Male","White","United States","United States","English",5.2,"US","66","Low AI + Manager"
"30","6605852ff5914c22f592a372",1,"A",1,51,"Master's","None","Basic","Low","High","6605852ff5914c22f592a372_1","100","True","45796.750796169","38.0117","23.6655","Yes","45-54","Male","Yes, regularly","owner","Master's Degree","construction","Somewhat uncomfortable","I use AI tools occasionally","Beginner","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","The company has limited or no use of AI.","Not at all","low","manager",6.45,"pass","APPROVED","Accounts/finance, Business strategy, Hiring, Customer/client, Marketing/sales/advertising, Operations/production, People management, Research/development, Supply chain/logistics","48","Male","White","Greece","Greece","Greek",6.63333333333333,"EU","48","Low AI + Manager"
"31","661c38568863541ccfbebd67",1,"A",1,31,"Master's","Basic","Basic","Low","Medium","661c38568863541ccfbebd67_1","100","True","45796.752145544","38.8715","-94.7713","Yes","54-65","Female","Yes, regularly","Manager","Bachelor's Degree","Banking, Finance and Insurance","Very comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly agree","The company has limited or no use of AI.","Moderately","low","manager",5.3,"pass","APPROVED","Hiring, Accounts/finance, Business strategy, Operations/production, People management","58","Female","White","United States","United States","English",5.41666666666667,"US","58","Low AI + Manager"
"32","662948ed99960b11f2f8e3fe",1,"A",1,34,"Bachelor's","Basic","Basic","Low","Medium","662948ed99960b11f2f8e3fe_1","100","True","45796.7554087269","40.4049","-79.8188","Yes","35-44","Female","Yes, regularly","engineering director","Master's Degree","engineering","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Agree","The company has limited or no use of AI.","Not at all","low","manager",6.9,"pass","APPROVED","Business strategy, Operations/production, Hiring, People management, Supply chain/logistics","44","Female","White","United States","United States","English",7.01666666666667,"US","44","Low AI + Manager"
"33","663a7f68b8ddc868338d92c4",1,"A",0,51,"Bachelor's","Basic","Basic","High","Low","663a7f68b8ddc868338d92c4_1","100","True","45796.7649048264","35.2083","-89.8058","Yes","35-44","Female","Yes, regularly","Owner","Bachelor's Degree","Entertainment and Media","Very comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Neutral","Agree","Agree","Agree","Neutral","The company has limited or no use of AI.","Slightly","low","manager",7.8,"pass","APPROVED","Customer/client, Hiring","42","Female","DATA_EXPIRED","United States","United States","English",7.95,"US","42","Low AI + Manager"
"34","666f22eec99c2f9c3a47b74d",1,"A",1,33,"PhD","Intermediate","Intermediate","Low","Medium","666f22eec99c2f9c3a47b74d_1","100","True","45796.7572145718","42.2711","-85.5419","Yes","45-54","Female","Yes, regularly","manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Beginner","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","The company has limited or no use of AI.","Not at all","low","manager",7.55,"pass","APPROVED","Customer/client, Hiring, Business strategy, Marketing/sales/advertising, Operations/production, People management, Supply chain/logistics","51","Female","White","United States","United States","English",7.66666666666667,"US","51","Low AI + Manager"
"35","6674554bfbca08e455eff7cd",1,"A",1,27,"Master's","Intermediate","Advanced","Low","High","6674554bfbca08e455eff7cd_1","100","True","45796.7487143866","36.3265","-115.3398","Yes","45-54","Male","Occasionally","Middle Manager","Master's Degree","Logistics/Transportation","Somewhat comfortable","I have heard of AI tools, but do not use them","Intermediate","Neutral","Agree","Neutral","Agree","Neutral","Disagree","Agree","I don't recall.","Slightly","low","manager",4.1,"pass","APPROVED","Hiring, People management","52","Male","White","United States","United States","English",4.23333333333333,"US","52","Low AI + Manager"
"36","6691bc059b0182b0bdd7d682",1,"A",0,57,"Master's","None","Basic","Medium","Medium","6691bc059b0182b0bdd7d682_1","100","True","45796.7497698843","30.9252","-88.59","Yes","54-65","Male","Yes, regularly","Healthcare manager","Bachelor's Degree","Healthcare","Somewhat comfortable","I use AI tools occasionally","Beginner","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Agree","Agree","The company has limited or no use of AI.","Slightly","low","manager",4.63333333333333,"pass","APPROVED","Hiring, Marketing/sales/advertising, Operations/production","57","Male","Mixed","United States","United States","English",4.8,"US","57","Low AI + Manager"
"37","66ccdd9f6b12c6ea6fa01f42",1,"A",1,28,"PhD","Intermediate","Intermediate","High","Medium","66ccdd9f6b12c6ea6fa01f42_1","100","True","45796.7590600116","40.7009","-73.9461","Yes","25-34","Male","Yes, regularly","Finance Supervisor","Bachelor's Degree","Banking, Finance and Insurance","Very comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",12,"pass","APPROVED","Accounts/finance, Business strategy, Research/development, Hiring","33","Male","White","United States","Germany","English",12.15,"US","33","Low AI + Manager"
"38","66d9fc2d2b46f520118ea65f",1,"A",0,26,"PhD","None","None","High","High","66d9fc2d2b46f520118ea65f_1","100","True","45796.7493824884","30.4786","-90.0401","Yes","35-44","Male","Yes, regularly","Senior Manager","Master's Degree","Healthcare","Very comfortable","I use AI tools frequently","Intermediate","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","The company has limited or no use of AI.","Slightly","low","manager",5.2,"pass","APPROVED","Hiring, Operations/production, Customer/client, Accounts/finance, Marketing/sales/advertising, Research/development","36","Male","Black","United States","United States","English",5.48333333333333,"US","36","Low AI + Manager"
"39","66e0157718835f6cb09812c7",1,"A",1,46,"PhD","None","Intermediate","High","Medium","66e0157718835f6cb09812c7_1","100","True","45796.8133630093","38.7219","-9.1398","Yes","45-54","Female","Yes, regularly","Owner","Master's Degree","Design","Very comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","The company has limited or no use of AI.","Slightly","low","manager",5.75,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Research/development","50","Female","White","Portugal","Portugal","Portuguese",5.85,"EU","50","Low AI + Manager"
"40","671f8db5fb6b86aa4236c2bb",1,"A",0,38,"Bachelor's","None","Basic","Low","High","671f8db5fb6b86aa4236c2bb_1","100","True","45796.7524323264","43.3549","-5.8529","Yes","25 or younger","Female","Occasionally","Cultural activities organizer","Bachelor's Degree","Education","Somewhat comfortable","I use AI tools frequently","Intermediate","Strongly agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","The company has limited or no use of AI.","Moderately","low","manager",3.7,"pass","APPROVED","Hiring, People management, Customer/client","25","Female","White","Spain","Spain","Spanish",3.8,"EU","25","Low AI + Manager"
"41","6724260700cede758eb0c062",1,"A",1,30,"Bachelor's","None","None","Low","Low","6724260700cede758eb0c062_1","100","True","45796.7577053472","40.064","-80.7209","Yes","45-54","Male","Yes, regularly","IT MANGER","High School or lower","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Disagree","Strongly agree","The company has limited or no use of AI.","Slightly","low","manager",7.1,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Operations/production, Research/development, Supply chain/logistics","49","Male","White","United States","United States","English",7.31666666666667,"US","49","Low AI + Manager"
"42","6726772db37c626cce7dfcf6",1,"A",0,43,"Bachelor's","None","None","Low","Low","6726772db37c626cce7dfcf6_1","100","True","45796.7567223843","35.2843","-80.76","Yes","45-54","Male","Yes, regularly","Admissions Director","Master's Degree","Education","Somewhat comfortable","I use AI tools frequently","Intermediate","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","The company relies heavily on AI.","Slightly","low","manager",9.83333333333333,"pass","APPROVED","Hiring, People management, Business strategy, Customer/client","51","Male","White","United States","United States","English",10.65,"US","51","Low AI + Manager"
"43","672bf6a8b306f66878d7d5ff",1,"A",0,54,"Master's","Advanced","Advanced","Low","Low","672bf6a8b306f66878d7d5ff_1","100","True","45796.7564374769","39.1094","-84.5718","Yes","25 or younger","Male","Occasionally","owner/webmaster","High School or lower","Marketing","Very comfortable","I use AI tools frequently","Intermediate","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","manager",6.18333333333333,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management, Other","23","Male","Black","United States","United States","English",6.31666666666667,"US","23","Low AI + Manager"
"44","672c2562333d511af60d4ae4",1,"A",1,59,"Master's","Basic","Advanced","Low","High","672c2562333d511af60d4ae4_1","100","True","45796.7621817593","41.5412","-88.0546","Yes","45-54","Female","Yes, regularly","Office Manager","Bachelor's Degree","Energy","Somewhat comfortable","I use AI tools occasionally","Beginner","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","The company has limited or no use of AI.","Not at all","low","manager",2.96666666666667,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, People management","47","Female","White","United States","United States","English",3.1,"US","47","Low AI + Manager"
"45","673378009f99d14c232c1f2b",1,"A",0,27,"Master's","Intermediate","Advanced","Medium","Low","673378009f99d14c232c1f2b_1","100","True","45796.8041625347","47.6109","-122.3303","Yes","35-44","Male","Yes, regularly","Consultant","Master's Degree","Marketing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Slightly","low","manager",4.83333333333333,"pass","APPROVED","Business strategy, Customer/client, Hiring, Marketing/sales/advertising","37","Male","Mixed","United States","United States","English",4.98333333333333,"US","37","Low AI + Manager"
