"","Progress","Finished","RecordedDate","LocationLatitude","LocationLongitude","consent","resp_age","resp_sex","resp_hiring","resp_role","resp_edu","industry_type","dig_literacy","dig_use","dig_skills","gov_reg","gov_reskill","personal_data_safety_cause_for_concern","ai_increases_prod_without_unemp","labour_welfare_policies_over_econ_growth","ai_driven_high_job_disp_in_the_future","more_ai_research_and_development","low_ai_gen_choice_1","low_ai_gen_choice_2","low_ai_gen_choice_3","low_ai_gen_choice_4","low_ai_gen_choice_5","check_1","check_2","low_ai_sp_choice_1","low_ai_sp_choice_2","low_ai_sp_choice_3","low_ai_sp_choice_4","low_ai_sp_choice_5","high_ai_gen_choice_1","high_ai_gen_choice_2","high_ai_gen_choice_3","high_ai_gen_choice_4","high_ai_gen_choice_5","high_ai_sp_choice_1","high_ai_sp_choice_2","high_ai_sp_choice_3","high_ai_sp_choice_4","high_ai_sp_choice_5","PROLIFIC_PID","traits1a_low_gen","traits1b_low_gen","traits2a_low_gen","traits2b_low_gen","traits3a_low_gen","traits3b_low_gen","traits4a_low_gen","traits4b_low_gen","traits5a_low_gen","traits5b_low_gen","traits1a_low_sp","traits1b_low_sp","traits2a_low_sp","traits2b_low_sp","traits3a_low_sp","traits3b_low_sp","traits4a_low_sp","traits4b_low_sp","traits5a_low_sp","traits5b_low_sp","traits1a_high_gen","traits1b_high_gen","traits2a_high_gen","traits2b_high_gen","traits3a_high_gen","traits3b_high_gen","traits4a_high_gen","traits4b_high_gen","traits5a_high_gen","traits5b_high_gen","traits1a_high_sp","traits1b_high_sp","traits2a_high_sp","traits2b_high_sp","traits3a_high_sp","traits3b_high_sp","traits4a_high_sp","traits4b_high_sp","traits5a_high_sp","traits5b_high_sp","ai_framing","job_role","Duration_mins","m_check","Status","Decision.making.responsibilities","Age","Sex","Ethnicity.simplified","Country.of.residence","Nationality","Language","Time.taken_mins","Region","resp_age_num"
"72","100","True","45796.748522419","38.7219","-9.1398","Yes","45-54","Male","Occasionally","Callcenter Team Leader","High School or lower","Customer Service","Somewhat comfortable","I use AI tools occasionally","Beginner","Agree","Strongly agree","Neutral","Disagree","Strongly agree","Neutral","Neutral",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Moderately",NA,NA,NA,NA,NA,"Candidate A","Candidate B","Candidate A","Candidate B","Candidate B",NA,NA,NA,NA,NA,"6159e5f964d5b78cedb9c192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45|Bachelor's|Intermediate|Advanced|High|Medium","34|Master's|None|None|Low|Medium","26|Bachelor's|None|Intermediate|Low|Medium","57|Bachelor's|Intermediate|Intermediate|Low|Medium","35|Master's|None|Intermediate|Medium|High","36|PhD|None|None|Low|Low","53|Master's|None|None|Low|Low","56|Master's|Basic|Intermediate|High|Medium","51|Bachelor's|None|Intermediate|Low|High","33|PhD|Basic|Intermediate|High|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",4.06666666666667,"pass","APPROVED","Customer/client, Hiring, Operations/production, People management","48","Male","White","Portugal","Portugal","Portuguese",4.15,"EU","48"
"73","100","True","45796.7665852778","39.2909","-76.6096","Yes","35-44","Male","Yes, regularly","Department Manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Beginner","Agree","Strongly agree","Agree","Neutral","Agree","Neutral","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate A","Candidate B","Candidate A","Candidate B","Candidate A",NA,NA,NA,NA,NA,"615c9083ffc1ce3be0325609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29|Bachelor's|Basic|Basic|Medium|Medium","52|PhD|None|Intermediate|Low|Low","57|Bachelor's|Basic|Advanced|Medium|Low","44|Master's|Basic|Intermediate|High|Medium","43|PhD|Basic|Intermediate|High|Medium","42|PhD|Intermediate|Advanced|Medium|Low","32|Master's|Basic|Advanced|Medium|Medium","37|PhD|Intermediate|Advanced|Medium|High","58|Master's|Intermediate|Advanced|High|Medium","43|Master's|None|Intermediate|Medium|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",7.96666666666667,"pass","APPROVED","People management, Hiring","37","Male","Other","United States","United States","Spanish",8.1,"US","37"
"74","100","True","45796.7541344097","33.3792","-86.6969","Yes","65 or older","Female","Occasionally","Manager Software Analytics","Bachelor's Degree","Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Disagree","Agree","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate B","Candidate B","Candidate A","Candidate A","Candidate B",NA,NA,NA,NA,NA,"615e420a23219efe3427a367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33|PhD|None|None|Low|Low","28|Bachelor's|Intermediate|Advanced|Medium|High","51|Bachelor's|Basic|Basic|Medium|Low","40|Master's|Advanced|Advanced|High|High","40|Master's|Basic|Basic|High|High","36|PhD|None|Intermediate|Medium|High","43|Bachelor's|None|Intermediate|High|High","46|PhD|None|Basic|Low|High","59|Master's|Basic|Advanced|Medium|High","35|Master's|Intermediate|Advanced|Low|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",5.41666666666667,"pass","APPROVED","Customer/client, Hiring, Operations/production, People management, Research/development","69","Female","White","United States","United States","English",5.56666666666667,"US","69"
"75","100","True","45796.7488550232","40.4519","-3.711","Yes","35-44","Female","Yes, regularly","partner","Master's Degree","Marketing","Somewhat comfortable","I use AI tools occasionally","Beginner","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Slightly",NA,NA,NA,NA,NA,"Candidate A","Candidate B","Candidate B","Candidate B","Candidate A",NA,NA,NA,NA,NA,"6161d2a6b6dcc778b5b930bb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26|PhD|Basic|Advanced|Medium|Medium","54|Bachelor's|Basic|Basic|High|Low","26|PhD|None|None|Medium|Medium","51|Bachelor's|Intermediate|Intermediate|High|Medium","29|Bachelor's|None|Advanced|Low|Medium","48|Bachelor's|Basic|Intermediate|Medium|Low","32|Master's|Basic|Basic|Medium|High","38|PhD|None|None|High|Medium","29|Master's|Basic|Basic|Low|High","39|Master's|Basic|Basic|Low|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",3.81666666666667,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management, Research/development","41","Female","White","Spain","Spain","Spanish",3.96666666666667,"EU","41"
"76","100","True","45796.7713027199","29.7133","-95.4804","Yes","35-44","Female","Occasionally","Training manager","Master's Degree","Education","Very comfortable","I use AI tools frequently","Intermediate","Disagree","Neutral","Disagree","Agree","Agree","Agree","Strongly agree","Candidate A","Candidate B","Candidate B","Candidate A","Candidate B","The company has limited or no use of AI.","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61bb370140db417c1a138984","41|Master's|Basic|Intermediate|High|Low","40|PhD|Basic|Advanced|Low|Low","40|Master's|Basic|Advanced|Medium|Medium","56|PhD|Basic|Advanced|High|High","26|PhD|None|Advanced|Low|Low","52|PhD|Advanced|Advanced|Low|High","42|Bachelor's|Basic|Basic|High|Medium","43|PhD|None|Basic|Low|Low","54|Master's|None|Advanced|Low|Low","46|Master's|Basic|Basic|Low|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",24.8833333333333,"pass","APPROVED","Hiring, Customer/client, Accounts/finance, People management, Research/development","36","Female","White","United States","United Kingdom","English",26.6,"US","36"
"77","100","True","45796.7550126273","36.2038","-115.2255","Yes","25 or younger","Male","Occasionally","Information Technology Manager","Bachelor's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Neutral","Strongly agree","Neutral","Strongly disagree","Strongly agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate A","Candidate B","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,"623ac50ed58ac10f7e259b8f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40|Bachelor's|None|Advanced|Low|High","53|PhD|None|None|Low|High","36|PhD|Intermediate|Intermediate|High|Low","38|PhD|None|Advanced|Medium|Medium","49|PhD|Basic|Intermediate|Medium|Low","38|PhD|None|Advanced|Low|High","43|Bachelor's|Intermediate|Advanced|High|High","54|Bachelor's|None|Intermediate|Medium|High","44|PhD|Intermediate|Advanced|High|Low","34|PhD|None|Advanced|High|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",2.65,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, Supply chain/logistics, Research/development","24","Male","White","United States","United States","English",2.86666666666667,"US","24"
"78","100","True","45796.8032737616","41.11","-81.5004","Yes","54-65","Male","Yes, regularly","Management Consultany","Master's Degree","Management Consulting","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,"I don't recall.","Significantly","Candidate A","Candidate B","Candidate A","Candidate B","Candidate A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6266a849331cc893a5b22cf6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39|Bachelor's|Advanced|Advanced|High|High","49|Master's|Basic|Advanced|Low|High","51|Master's|None|Basic|High|Medium","35|Master's|Basic|Intermediate|Medium|Medium","29|Bachelor's|None|Intermediate|High|Medium","46|PhD|Basic|Basic|Medium|Low","32|Master's|Basic|Basic|Medium|Medium","36|PhD|Intermediate|Advanced|Low|High","57|Master's|Basic|Intermediate|High|Low","31|Bachelor's|None|Basic|High|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",9,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management, Research/development, Other","57","Male","Black","United States","United States","English",9.25,"US","57"
"79","100","True","45796.7571898495","29.6963","-95.1319","Yes","35-44","Male","Yes, regularly","Head of Operations","Bachelor's Degree","Computer and Technology,Other (Please specify)","Very comfortable","I use AI tools frequently","Advanced","Agree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Agree","Candidate A","Candidate A","Candidate A","Candidate B","Candidate A","The company has limited or no use of AI.","Slightly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62b0d928b1eb191d733f9ebd","48|PhD|None|Intermediate|Low|High","60|Master's|Basic|Intermediate|High|Medium","51|Master's|None|Basic|High|Low","47|Bachelor's|None|Advanced|Low|Medium","44|Bachelor's|Basic|Intermediate|High|Medium","39|Master's|None|Advanced|High|Low","53|Bachelor's|None|None|Low|Low","32|PhD|Advanced|Advanced|Low|High","56|Bachelor's|Basic|Advanced|Medium|Medium","47|Bachelor's|Basic|Intermediate|High|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",4.76666666666667,"pass","APPROVED","Business strategy, Customer/client, Marketing/sales/advertising, Hiring, Operations/production","38","Male","White","United States","United States","English",4.9,"US","38"
"80","100","True","45796.759459375","33.1962","-80.0245","Yes","35-44","Male","Yes, regularly","Senior Manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Slightly",NA,NA,NA,NA,NA,"Candidate A","Candidate A","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,"62b21265a3b5b67b0f8ae791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55|Master's|Basic|Advanced|Low|Low","48|Bachelor's|None|Basic|Low|High","38|Bachelor's|Advanced|Advanced|Medium|Low","34|Master's|None|Intermediate|High|Medium","33|Bachelor's|Intermediate|Advanced|Low|Low","45|Bachelor's|None|Intermediate|Medium|Low","50|PhD|Intermediate|Intermediate|High|Low","27|Master's|Basic|Advanced|High|Low","34|Bachelor's|None|None|Low|Low","37|PhD|None|None|Medium|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",10.5833333333333,"pass","APPROVED","People management, Research/development, Supply chain/logistics, Hiring","35","Male","Black","United States","United States","English",10.7666666666667,"US","35"
"81","100","True","45796.7640442245","33.7855","-84.3612","Yes","35-44","Female","Yes, regularly","Operations Manager","Bachelor's Degree","Entertainment and Media","Very comfortable","I use AI tools frequently","Advanced","Neutral","Strongly agree","Neutral","Disagree","Agree","Neutral","Neutral",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate B","Candidate B","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,"62b4babe7f02be73f830f128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33|Master's|None|Basic|Low|Medium","29|PhD|None|Intermediate|High|High","25|Master's|None|Advanced|Medium|High","36|PhD|Advanced|Advanced|High|Low","29|PhD|Basic|Advanced|Low|High","50|Master's|None|Advanced|High|Low","33|Master's|Advanced|Advanced|Low|Medium","51|Master's|None|Advanced|Medium|Medium","32|Bachelor's|Advanced|Advanced|Low|High","25|Bachelor's|None|Advanced|High|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",6.11666666666667,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management, Research/development, Supply chain/logistics","43","Female","White","United States","United States","English",6.35,"US","43"
"82","100","True","45783.6651537384","41.8835","-87.6305","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral",NA,NA,NA,NA,NA,"The company has limited or no use of AI.","Moderately","Candidate B","Candidate B","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62cbf51439a76e8fccd8a495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42|Bachelor's|None|Basic|Medium|Low","51|PhD|Basic|Advanced|Medium|Medium","28|Bachelor's|Intermediate|Intermediate|Low|Low","29|Bachelor's|Intermediate|Advanced|Low|Low","46|PhD|Intermediate|Advanced|High|Medium","57|PhD|None|Basic|Low|Medium","42|Master's|Basic|Advanced|High|Medium","43|Bachelor's|None|Intermediate|Medium|Low","42|PhD|Basic|Basic|Medium|Medium","31|Master's|Intermediate|Intermediate|High|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",8.6,"pass","APPROVED","Hiring, People management, Operations/production","61","Female","White","United States","United States","English",8.71666666666667,"US","61"
"83","100","True","45796.7558826389","38.4321","-90.3896","Yes","25-34","Female","Occasionally","data analyst","High School or lower","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree",NA,NA,NA,NA,NA,"I don't recall.","Significantly","Candidate A","Candidate A","Candidate A","Candidate A","Candidate B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62e02660c3ef175825ab7655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37|Bachelor's|Basic|Advanced|Low|Medium","27|Master's|None|None|Low|Medium","47|Master's|Intermediate|Advanced|Medium|High","35|Master's|Intermediate|Advanced|Low|Low","59|Master's|Basic|Basic|Low|Low","54|Master's|None|None|Low|High","45|PhD|Basic|Intermediate|Medium|Low","35|PhD|None|Basic|Medium|Low","40|PhD|None|None|Medium|High","40|Bachelor's|None|Intermediate|Medium|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",5.98333333333333,"pass","APPROVED","Accounts/finance, Hiring, People management, Other","34","Female","White","United States","United States","English",6.08333333333333,"US","34"
"84","100","True","45796.7513228819","41.3208","-93.1094","Yes","65 or older","Male","Yes, regularly","Shop Manager","Bachelor's Degree","Agriculture","Somewhat comfortable","I use AI tools occasionally","Intermediate","Disagree","Disagree","Agree","Neutral","Agree","Neutral","Neutral",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Not at all","Candidate B","Candidate B","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62e7357284e65421d8f8b10f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40|Bachelor's|Intermediate|Intermediate|High|Low","50|PhD|None|Basic|Low|High","41|PhD|Intermediate|Intermediate|High|Medium","41|Bachelor's|None|Basic|High|High","36|Bachelor's|Advanced|Advanced|Medium|Medium","48|Master's|Advanced|Advanced|High|High","41|PhD|Basic|Basic|Low|Low","50|Bachelor's|None|Advanced|Low|Medium","39|Bachelor's|None|Basic|Low|High","56|PhD|Basic|Intermediate|Low|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",3.3,"pass","APPROVED","Hiring, People management, Supply chain/logistics","67","Male","White","United States","Netherlands","Dutch",3.41666666666667,"US","67"
"85","100","True","45796.7576145602","47.6657","-117.2251","Yes","45-54","Male","Yes, regularly","Senior Assistant Manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Candidate A","Candidate A","Candidate A","Candidate A","Candidate B","The company has limited or no use of AI.","Slightly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62f48ec3d148eaece3a0c3c7","43|Bachelor's|None|None|High|Medium","52|PhD|None|Advanced|Low|Low","30|Bachelor's|None|Intermediate|High|High","41|PhD|None|Intermediate|Low|Low","40|Bachelor's|None|Intermediate|Low|High","46|Master's|None|Intermediate|High|Low","38|Master's|Intermediate|Intermediate|Low|Medium","49|Master's|Intermediate|Advanced|High|Low","35|Master's|None|Basic|Low|Medium","33|Master's|Basic|Intermediate|Low|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",4.95,"pass","APPROVED","Customer/client, Hiring, People management, Other","45","Male","Asian","United States","Japan","English",5.08333333333333,"US","45"
"86","100","True","45796.750727581","43.0006","-88.22","Yes","54-65","Female","Yes, regularly","I am the owner of the company.  My duties include hiring employees, overseeing day to day operations, purchasing, finance, and inventory management","High School or lower","Hospitality","Somewhat comfortable","I use AI tools occasionally","Beginner","Neutral","Disagree","Agree","Agree","Disagree","Agree","Neutral","Candidate A","Candidate A","Candidate A","Candidate A","Candidate B","The company has limited or no use of AI.","Slightly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6334b0fc574064de4e68f578","36|Master's|Basic|Intermediate|Low|Medium","47|Master's|Basic|Basic|High|Low","47|Master's|Intermediate|Intermediate|Medium|Low","43|Bachelor's|Basic|Basic|Low|High","38|Master's|Basic|Advanced|High|Low","60|PhD|None|None|Medium|High","29|Bachelor's|Intermediate|Intermediate|Low|Medium","37|PhD|None|Intermediate|Medium|Medium","34|Bachelor's|None|Advanced|Medium|High","48|Bachelor's|Advanced|Advanced|Medium|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",4.58333333333333,"pass","APPROVED","Operations/production, Business strategy, Marketing/sales/advertising, People management, Hiring, Research/development, Accounts/finance, Supply chain/logistics, Customer/client","64","Female","White","United States","United States","English",4.71666666666667,"US","64"
"87","100","True","45796.7671602546","39.4214","-81.4664","Yes","45-54","Male","Occasionally","library director","Master's Degree","education","Very comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate A","Candidate B","Candidate A","Candidate A","Candidate B",NA,NA,NA,NA,NA,"63614899ad49a91f1ef09067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59|PhD|Advanced|Advanced|Medium|Low","32|Master's|None|Basic|High|Low","37|Bachelor's|Basic|Basic|Medium|Low","41|Master's|Intermediate|Advanced|Medium|Medium","50|Bachelor's|Basic|Advanced|Medium|Medium","39|Master's|None|None|High|High","29|PhD|Intermediate|Intermediate|Medium|High","51|Master's|Basic|Basic|High|Medium","48|Master's|None|Basic|Medium|Low","33|PhD|Advanced|Advanced|High|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",9.21666666666667,"pass","APPROVED","Customer/client, Hiring, People management","53","Male","White","United States","United States","English",9.35,"US","53"
"88","100","True","45796.748395081","42.363","-83.3627","Yes","45-54","Male","Yes, regularly","Fabrication Manager","Bachelor's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Neutral",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate B","Candidate B","Candidate B","Candidate B","Candidate B",NA,NA,NA,NA,NA,"636d6ce3fb3683ff33f9e514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58|Master's|None|None|High|Medium","58|PhD|Basic|Advanced|Medium|Medium","35|Bachelor's|None|None|Medium|High","52|Master's|Advanced|Advanced|Medium|Medium","59|Master's|None|Intermediate|Low|Medium","46|Master's|None|Basic|High|Medium","25|Bachelor's|None|None|Medium|High","27|Bachelor's|None|Intermediate|High|Medium","43|Bachelor's|Basic|Intermediate|High|Low","40|Master's|Advanced|Advanced|Medium|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",3,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production","51","Male","White","United States","United States","English",3.21666666666667,"US","51"
"89","100","True","45796.813763206","50.9033","6.9647","Yes","25-34","Male","Yes, regularly","Head of PMO","Master's Degree","Banking, Finance and Insurance","Very comfortable","I use AI tools occasionally","Intermediate","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Candidate A","Candidate B","Candidate A","Candidate B","Candidate A","The company has limited or no use of AI.","Slightly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"637e1da154dddf50b9d82c82","28|Bachelor's|Basic|Advanced|Low|High","29|PhD|Basic|Intermediate|Medium|Low","53|PhD|None|Intermediate|Low|High","45|Master's|Intermediate|Advanced|Medium|Medium","32|Master's|Basic|Intermediate|High|Medium","42|PhD|Basic|Advanced|Medium|High","59|PhD|None|Intermediate|High|Low","32|PhD|Intermediate|Advanced|Low|Medium","34|Bachelor's|Basic|Intermediate|Low|High","42|PhD|None|None|High|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",2.53333333333333,"pass","APPROVED","Business strategy, Hiring, People management, Research/development, Other","34","Male","White","Germany","Germany","German",2.6,"EU","34"
"90","100","True","45796.7486827199","39.6562","-104.7866","Yes","65 or older","Female","Yes, regularly","Supervisor of the AR team","Bachelor's Degree","Energy","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Disagree","Agree","Disagree","Neutral","Agree",NA,NA,NA,NA,NA,"The company has limited or no use of AI.","Slightly","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63acbbe336a9ca92853dca4a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49|PhD|Intermediate|Intermediate|Medium|Low","53|Master's|None|Intermediate|Low|High","28|PhD|None|Intermediate|High|Low","30|Master's|Intermediate|Intermediate|High|Medium","35|Master's|Intermediate|Advanced|Medium|High","43|Bachelor's|None|Advanced|High|High","37|PhD|Basic|Advanced|Low|High","47|Bachelor's|Advanced|Advanced|High|Low","37|PhD|Basic|Advanced|Low|Medium","52|Master's|None|None|Medium|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",4.61666666666667,"pass","APPROVED","Accounts/finance, Hiring, People management","66","Female","White","United States","United States","English",4.78333333333333,"US","66"
"91","100","True","45796.7569084028","40.7126","-74.0066","Yes","35-44","Male","Yes, regularly","Senior manager","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Candidate A","Candidate B","Candidate A","Candidate B","Candidate B","The company has limited or no use of AI.","Slightly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63c3164c08ff110d63b44dc6","31|Master's|Basic|Basic|Low|Medium","31|Bachelor's|None|None|Low|High","42|PhD|None|Intermediate|Medium|Medium","36|PhD|Advanced|Advanced|Medium|Low","49|Master's|Intermediate|Intermediate|Medium|High","52|Master's|None|None|Medium|Medium","29|PhD|Intermediate|Intermediate|Low|Low","33|Master's|Basic|Basic|High|High","55|Bachelor's|Basic|Basic|Medium|Medium","39|PhD|Basic|Basic|Low|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",14.3,"pass","APPROVED","Hiring","35","Male","White","United States","United States","English",14.6666666666667,"US","35"
