"","PROLIFIC_PID","task_number","profile","chosen","age","educ","ml","prog","soft","lead","Progress","Finished","RecordedDate","LocationLatitude","LocationLongitude","consent","resp_age","resp_sex","resp_hiring","resp_role","resp_edu","industry_type","dig_literacy","dig_use","dig_skills","gov_reg","gov_reskill","personal_data_safety_cause_for_concern","ai_increases_prod_without_unemp","labour_welfare_policies_over_econ_growth","ai_driven_high_job_disp_in_the_future","more_ai_research_and_development","check_1","check_2","ai_framing","job_role","Duration_mins"
"25","67f2a88a874ffbefd55213cf",5,"A",1,"27","PhD","Advanced","Advanced","High","Medium","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"26","68126af379b0b5fec9be4d75",5,"A",1,"29","PhD","Basic","Basic","Medium","Medium","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"27","67a945bc8c687a3fb20a5ba3",5,"A",1,"41","Master's","Intermediate","Advanced","High","Medium","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"28","67f2a88a874ffbefd55213cf",5,"B",0,"45","Master's","Intermediate","Advanced","Low","Low","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"29","68126af379b0b5fec9be4d75",5,"B",0,"42","Master's","None","Basic","High","High","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"30","67a945bc8c687a3fb20a5ba3",5,"B",0,"60","PhD","Intermediate","Advanced","Medium","Medium","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"31","67a754a5c8614c52a939d87b",1,"A",1,"37","Bachelor's","Basic","Advanced","Low","Medium","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"32","67e24e90c34339254575ff23",1,"A",0,"45","PhD","Intermediate","Advanced","High","High","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"33","67cfaa18ad2b735d5b393651",1,"A",1,"32","Bachelor's","Basic","Basic","Low","Medium","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
"34","62cbf51439a76e8fccd8a495",1,"A",0,"42","Bachelor's","None","Basic","Medium","Low","100","True","45783.665153738424","41.883499999999998","-87.630499999999998","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","The company has limited or no use of AI.","Moderately","low","analyst",8.6
"35","604b169fe4b7991ec08da3a6",1,"A",1,"37","PhD","Intermediate","Advanced","Low","Medium","100","True","45783.67850091435","48.142800000000001","11.5801","Yes","25-34","Male","Occasionally","team manager","Master's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",4.01666666666667
"36","67a754a5c8614c52a939d87b",1,"B",0,"27","Master's","None","None","Low","Medium","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"37","67e24e90c34339254575ff23",1,"B",1,"32","PhD","Advanced","Advanced","Medium","Medium","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"38","67cfaa18ad2b735d5b393651",1,"B",0,"59","Bachelor's","Basic","Intermediate","Medium","Low","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
"39","62cbf51439a76e8fccd8a495",1,"B",1,"51","PhD","Basic","Advanced","Medium","Medium","100","True","45783.665153738424","41.883499999999998","-87.630499999999998","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","The company has limited or no use of AI.","Moderately","low","analyst",8.6
"40","604b169fe4b7991ec08da3a6",1,"B",0,"48","Bachelor's","Basic","Intermediate","High","Medium","100","True","45783.67850091435","48.142800000000001","11.5801","Yes","25-34","Male","Occasionally","team manager","Master's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",4.01666666666667
"41","67a754a5c8614c52a939d87b",2,"A",1,"38","Bachelor's","None","None","High","Medium","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"42","67e24e90c34339254575ff23",2,"A",1,"34","Bachelor's","None","Basic","Low","High","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"43","67cfaa18ad2b735d5b393651",2,"A",0,"58","PhD","Intermediate","Advanced","High","Medium","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
"44","62cbf51439a76e8fccd8a495",2,"A",0,"28","Bachelor's","Intermediate","Intermediate","Low","Low","100","True","45783.665153738424","41.883499999999998","-87.630499999999998","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","The company has limited or no use of AI.","Moderately","low","analyst",8.6
"45","604b169fe4b7991ec08da3a6",2,"A",0,"56","Bachelor's","Basic","Intermediate","High","Low","100","True","45783.67850091435","48.142800000000001","11.5801","Yes","25-34","Male","Occasionally","team manager","Master's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",4.01666666666667
"46","67a754a5c8614c52a939d87b",2,"B",0,"51","Bachelor's","Advanced","Advanced","Low","Medium","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"47","67e24e90c34339254575ff23",2,"B",0,"57","Bachelor's","Basic","Advanced","Medium","Medium","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"48","67cfaa18ad2b735d5b393651",2,"B",1,"33","Master's","Basic","Intermediate","High","High","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
"49","62cbf51439a76e8fccd8a495",2,"B",1,"29","Bachelor's","Intermediate","Advanced","Low","Low","100","True","45783.665153738424","41.883499999999998","-87.630499999999998","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","The company has limited or no use of AI.","Moderately","low","analyst",8.6
"50","604b169fe4b7991ec08da3a6",2,"B",1,"53","Bachelor's","Intermediate","Advanced","Medium","Medium","100","True","45783.67850091435","48.142800000000001","11.5801","Yes","25-34","Male","Occasionally","team manager","Master's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",4.01666666666667
"51","67a754a5c8614c52a939d87b",3,"A",0,"55","PhD","Advanced","Advanced","Low","High","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"52","67e24e90c34339254575ff23",3,"A",0,"42","Master's","None","Intermediate","Medium","High","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"53","67cfaa18ad2b735d5b393651",3,"A",0,"32","Bachelor's","Intermediate","Advanced","Low","Low","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
"54","62cbf51439a76e8fccd8a495",3,"A",1,"46","PhD","Intermediate","Advanced","High","Medium","100","True","45783.665153738424","41.883499999999998","-87.630499999999998","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","The company has limited or no use of AI.","Moderately","low","analyst",8.6
"55","604b169fe4b7991ec08da3a6",3,"A",0,"53","Bachelor's","Intermediate","Advanced","Medium","Medium","100","True","45783.67850091435","48.142800000000001","11.5801","Yes","25-34","Male","Occasionally","team manager","Master's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",4.01666666666667
"56","67a754a5c8614c52a939d87b",3,"B",1,"41","Master's","None","Intermediate","Medium","Medium","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"57","67e24e90c34339254575ff23",3,"B",1,"26","Master's","Basic","Basic","Low","High","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"58","67cfaa18ad2b735d5b393651",3,"B",1,"56","Bachelor's","Basic","Intermediate","Low","High","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
"59","62cbf51439a76e8fccd8a495",3,"B",0,"57","PhD","None","Basic","Low","Medium","100","True","45783.665153738424","41.883499999999998","-87.630499999999998","Yes","54-65","Female","Yes, regularly","store manager","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","The company has limited or no use of AI.","Moderately","low","analyst",8.6
"60","604b169fe4b7991ec08da3a6",3,"B",1,"60","Bachelor's","None","Basic","Low","High","100","True","45783.67850091435","48.142800000000001","11.5801","Yes","25-34","Male","Occasionally","team manager","Master's Degree","Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",4.01666666666667
"61","67a754a5c8614c52a939d87b",4,"A",1,"36","PhD","None","Intermediate","Low","Medium","100","True","45783.659140057869","37.750999999999998","-97.822000000000003","Yes","25-34","Female","Yes, regularly","HR manager","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools frequently","Intermediate","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","The company has limited or no use of AI.","Slightly","low","analyst",5.03333333333333
"62","67e24e90c34339254575ff23",4,"A",1,"55","Master's","None","Basic","High","Medium","100","True","45783.659594178243","37.750999999999998","-97.822000000000003","Yes","25 or younger","Female","Yes, regularly","Owner of start-up","Bachelor's Degree","Retail","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","The company has limited or no use of AI.","Slightly","low","analyst",6.16666666666667
"63","67cfaa18ad2b735d5b393651",4,"A",0,"60","Master's","Intermediate","Advanced","Medium","Medium","100","True","45783.663327164351","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","Middle Manager","Master's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","The company relies heavily on AI.","Moderately","low","analyst",6.03333333333333
